name,type,mappedLocationId,margin,freight,updatedAt,state,parentToChildDistance
REWARI,DESTINATION,65316a69e9d1652da805afa9,0,0,2023-10-19T17:42:01.594Z,,
GIR SOMANTH,DESTINATION,65316a69e9d1652da805afaa,0,0,2023-10-19T17:42:01.603Z,,
PUNE,DESTINATION,65316a69e9d1652da805afab,0,0,2023-10-26T16:17:21.507Z,,
DARJEELING,DESTINATION,65316a69e9d1652da805afac,0,0,2023-10-19T17:42:01.613Z,,
SILVASSA,GODOWN,65316a69e9d1652da805b1df,0,10,2024-07-01T11:28:13.793Z,,
RAIGAD,DESTINATION,65316a69e9d1652da805afad,0,20,2024-06-21T07:58:55.564Z,,
ALAPPUZHA,DESTINATION,65316a69e9d1652da805afae,0,0,2023-10-19T17:42:01.620Z,,
DIBRUGARH,DESTINATION,65316a69e9d1652da805afaf,0,0,2023-10-19T17:42:01.623Z,,
PRAYAGRAJ,DESTINATION,65316a69e9d1652da805afb0,0,0,2023-10-19T17:42:01.629Z,,
CHAMOLI,DESTINATION,65316a69e9d1652da805afb1,0,0,2023-10-19T17:42:01.632Z,,
KANPUR DEHAT,DESTINATION,65316a69e9d1652da805afb2,0,0,2024-06-14T09:33:10.288Z,,
JAMTARA,DESTINATION,65316a69e9d1652da805afb3,0,0,2023-10-19T17:42:01.640Z,,
KOZHIKODE,GODOWN,65316a69e9d1652da805b06c,0,0,2023-10-19T17:42:04.292Z,,
RAJKOT,GODOWN,65316a69e9d1652da805afe4,0,0,2023-10-19T17:42:04.296Z,,
KURNOOL,DESTINATION,65316a69e9d1652da805afb4,0,20,2023-11-04T07:36:49.539Z,,
BHAVNAGAR,GODOWN,65316a69e9d1652da805b0f6,0,0,2023-10-19T17:42:04.301Z,,
KANPUR,DESTINATION,65316a69e9d1652da805afb5,0,0,2024-06-14T09:33:09.929Z,,
WASHIM,DESTINATION,65316a69e9d1652da805afb6,0,0,2023-10-19T17:42:01.653Z,,
GURUGRAM,DESTINATION,65316a69e9d1652da805afb7,0,10,2024-06-15T04:37:47.986Z,,
JAUNPUR,DESTINATION,65316a69e9d1652da805afb8,0,20,2023-10-19T17:42:01.661Z,,
GORAKHPUR,DESTINATION,65316a69e9d1652da805afb9,0,0,2023-10-19T17:42:01.665Z,,
CUTTACK,DESTINATION,65316a69e9d1652da805afba,0,0,2023-10-19T17:42:01.669Z,,
JIND,DESTINATION,65316a69e9d1652da805afbb,0,20,2023-11-20T10:28:28.425Z,,
KOTA,DESTINATION,65316a69e9d1652da805afbc,0,0,2023-10-19T17:42:01.679Z,,
RAJSAMAND,DESTINATION,65316a69e9d1652da805afbd,0,20,2023-10-19T17:42:01.683Z,,
KODERMA,DESTINATION,65316a69e9d1652da805afbe,0,0,2023-10-19T17:42:01.687Z,,
PERAMBALUR,DESTINATION,65316a69e9d1652da805afbf,0,0,2023-10-19T17:42:01.691Z,,
KANYAKUMARI,DESTINATION,65316a69e9d1652da805afc0,0,0,2023-10-19T17:42:01.696Z,,
RUDRAPRAYAG,DESTINATION,65316a69e9d1652da805afc1,0,0,2023-10-19T17:42:01.700Z,,
KRA DAADI,DESTINATION,65316a69e9d1652da805afc2,0,0,2023-10-19T17:42:01.704Z,,
BEED,DESTINATION,65316a69e9d1652da805afc3,0,0,2023-10-19T17:42:01.707Z,,
KATNI,DESTINATION,65316a69e9d1652da805afc4,0,0,2023-10-19T17:42:01.711Z,,
UJJAIN,DESTINATION,65316a69e9d1652da805afc5,0,30,2023-10-19T17:42:01.715Z,,
PAURI GARHWAL,DESTINATION,65316a69e9d1652da805afc6,0,20,2023-10-19T17:42:01.720Z,,
PUDUCHERRY,DESTINATION,65316a69e9d1652da805afc7,0,0,2023-10-19T17:42:01.724Z,,
KHORDHA,DESTINATION,65316a69e9d1652da805afc8,0,0,2023-10-19T17:42:01.728Z,,
UDHAM SINGH NAGAR,GODOWN,65316a69e9d1652da805b208,0,0,2023-10-19T17:42:04.305Z,,
MYSURU,GODOWN,65316a69e9d1652da805afe9,0,0,2023-10-19T17:42:04.308Z,,
PUDUKOTTAI,DESTINATION,65316a69e9d1652da805afc9,0,0,2023-10-19T17:42:01.731Z,,
KATHUA,DESTINATION,65316a69e9d1652da805afca,0,0,2023-10-19T17:42:01.735Z,,
SIVAKASI,GODOWN,65316a69e9d1652da805b1fa,0,0,2023-10-19T17:42:04.311Z,,
BARPETA,DESTINATION,65316a69e9d1652da805afcb,0,0,2023-10-19T17:42:01.741Z,,
MUNGELI,DESTINATION,65316a69e9d1652da805afcc,0,0,2023-10-19T17:42:01.745Z,,
NARMADA,DESTINATION,65316a69e9d1652da805afcd,0,0,2023-10-19T17:42:01.749Z,,
BELAGAVI,DESTINATION,65316a69e9d1652da805afce,0,0,2023-10-19T17:42:01.752Z,,
HASSAN,DESTINATION,65316a69e9d1652da805afcf,0,0,2023-10-19T17:42:01.756Z,,
TAMENGLONG,DESTINATION,65316a69e9d1652da805afd0,0,0,2023-10-19T17:42:01.761Z,,
WEST GARO HILLS,DESTINATION,65316a69e9d1652da805afd1,0,0,2023-10-19T17:42:01.765Z,,
WEST JAINTIA HILLS,DESTINATION,65316a69e9d1652da805afd2,0,0,2023-10-19T17:42:01.770Z,,
AIZAWL,DESTINATION,65316a69e9d1652da805afd3,0,0,2023-10-19T17:42:01.773Z,,
KENDRAPARA,DESTINATION,65316a69e9d1652da805afd4,0,0,2023-10-19T17:42:01.777Z,,
NUAPADA,DESTINATION,65316a69e9d1652da805afd5,0,0,2023-10-19T17:42:01.780Z,,
KARIMNAGAR,DESTINATION,65316a69e9d1652da805afd6,0,20,2023-10-19T17:42:01.785Z,,
MAHABUBABAD,DESTINATION,65316a69e9d1652da805afd7,0,0,2023-10-19T17:42:01.789Z,,
KONDAGAON,DESTINATION,65316a69e9d1652da805afd8,0,0,2023-10-19T17:42:01.792Z,,
DIU,DESTINATION,65316a69e9d1652da805afd9,0,0,2024-06-15T04:35:36.125Z,,
DINDORI,DESTINATION,65316a69e9d1652da805afda,0,0,2023-10-19T17:42:01.799Z,,
LUNGLEI,DESTINATION,65316a69e9d1652da805afdb,0,0,2023-10-19T17:42:01.804Z,,
JHARSUGUDA,DESTINATION,65316a69e9d1652da805afdc,0,0,2023-10-19T17:42:01.807Z,,
BUNDI,DESTINATION,65316a69e9d1652da805afdd,0,0,2023-10-19T17:42:01.811Z,,
UNAKOTI,DESTINATION,65316a69e9d1652da805afde,0,0,2023-10-19T17:42:01.814Z,,
ETAH,DESTINATION,65316a69e9d1652da805afdf,0,20,2023-10-19T17:42:01.818Z,,
ETAWAH,DESTINATION,65316a69e9d1652da805afe0,0,0,2023-10-19T17:42:01.823Z,,
JALNA,DESTINATION,65316a69e9d1652da805afe1,0,20,2024-06-15T04:33:16.462Z,,
NASHIK,DESTINATION,65316a69e9d1652da805afe2,0,0,2023-10-19T17:42:01.830Z,,
